response_id,created_at,created_at_formatted,email,first_name,last_name,nickname,graduation_class,hometown,majors,scheduling,learning_objectives,work_experience,interests,learning_objective_business,learning_objective_info_systems,learning_objective_career,learning_objective_requirement,learning_objective_personal,work_experience_public,work_experience_business,work_experience_social_media,work_experience_other,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,software_usage_word,software_usage_docs,software_usage_excel,software_usage_sheets,software_usage_powerpoint,software_usage_slides,software_usage_viso,software_usage_lucidchart,software_usage_access,tools_usage_email,tools_usage_blackboard,tools_usage_gchat,tools_usage_slack,tech_usage_csv,tech_usage_json,tech_usage_sql,tech_usage_xml,tech_usage_html,tech_usage_css,tech_usage_javascript,tech_usage_java,tech_usage_php,tech_usage_ruby,tech_usage_python,tech_usage_c_plus_plus,tech_usage_visual_basic,tech_usage_c_sharp,tech_usage_c,tech_usage_objective_c,tech_usage_perl,tech_usage_r,tech_usage_dot_net,tools_usage_hipchat,tools_usage_irc,tools_usage_aws,tools_usage_github,tools_usage_bitbucket,website_experience,meetup_comfort
30,8/31/2015 11:23:13,2015-08-31 11:23:13,#redacted,#redacted,#redacted,,Junior,"San Francisco, CA",Marketing,,#redacted,#redacted,#redacted,1,0,1,0,0,0,0,0,1,1,1,0,0,0,Yes,Mac OS,Used a few times but with discomfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Heard of but never used,Heard of but never used,Heard of but never used,Can use with ease,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,No,Sounds fine.
31,8/31/2015 12:15:02,2015-08-31 12:15:02,#redacted,#redacted,#redacted,,Junior,Syracuse,"Business Analytics, Finance",Class immediately before,#redacted,#redacted,#redacted,0,1,0,1,0,1,0,0,0,1,1,1,0,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
32,8/31/2015 12:29:14,2015-08-31 12:29:14,#redacted,#redacted,#redacted,,Junior,"Bogota, Colombia","International Business, Marketing, Minor in Sociology",,#redacted,#redacted,#redacted,0,0,0,0,1,1,1,0,0,0,0,1,0,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with ease,Never heard of,Can use with comfort,Can use with comfort,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Heard of but never used,Heard of but never used,Heard of but never used,Can use with ease,Can use with comfort,Used a few times but with discomfort,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
33,8/31/2015 7:58:00,2015-08-31 07:58:00,#redacted,#redacted,#redacted,#redacted,Graduate Student,Abeokuta,Information Systems,,#redacted,#redacted,#redacted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Windows OS,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Can use with comfort,Heard of but never used,Heard of but never used,Can use with ease,Used a few times but with discomfort,Can use with comfort,Used a few times but with discomfort,Used a few times but with discomfort,Can use with comfort,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Can use with comfort,Never heard of,No,Sounds fun. Can't wait.
34,8/31/2015 11:12:25,2015-08-31 11:12:25,#redacted,#redacted,#redacted,#redacted,Sophomore,Houston,"Accounting, Business Economics and Public Policy",,#redacted,#redacted,#redacted,0,0,1,1,1,0,0,0,1,1,0,1,1,0,Yes,Windows OS,Can use with comfort,Can use with comfort,Can use with ease,Used a few times but with discomfort,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Heard of but never used,Can use with comfort,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
35,8/31/2015 11:12:29,2015-08-31 11:12:29,#redacted,#redacted,#redacted,,Sophomore,"Rockville, MD","Accounting, Finance",,#redacted,#redacted,#redacted,0,0,0,1,0,0,1,0,0,1,1,1,0,1,Yes,Windows OS,Can use with ease,Can use with comfort,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with comfort,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
36,8/31/2015 11:15:32,2015-08-31 11:15:32,#redacted,#redacted,#redacted,,Sophomore,"Mahwah, NJ",International Business,,#redacted,#redacted,#redacted,1,1,0,0,0,1,0,0,1,1,0,1,0,0,Yes,Windows OS,Can use with ease,Used a few times but with discomfort,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Can use with comfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
37,8/31/2015 11:17:45,2015-08-31 11:17:45,#redacted,#redacted,#redacted,,Sophomore,"Longmeadow, Massachusetts",Accounting,Class immediately after,#redacted,#redacted,#redacted,1,0,0,0,,0,0,0,1,1,0,1,0,0,Yes,Windows OS,Can use with ease,Can use with comfort,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
38,8/31/2015 11:18:28,2015-08-31 11:18:28,#redacted,#redacted,#redacted,,Sophomore,"Frederick, MD",Business Economics and Public Policy,Class immediately before,#redacted,#redacted,#redacted,0,1,1,0,1,0,0,0,1,1,1,0,1,0,Yes,Windows OS,Can use with ease,Can use with comfort,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Used a few times but with discomfort,Can use with ease,Can use with ease,Heard of but never used,Heard of but never used,Heard of but never used,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
39,8/31/2015 11:20:37,2015-08-31 11:20:37,#redacted,#redacted,#redacted,,Sophomore,Gainesville VA,Systems Engineering,,#redacted,#redacted,#redacted,1,0,1,0,0,0,0,0,0,1,0,0,0,1,Yes,Windows OS,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Heard of but never used,Can use with ease,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Used a few times but with discomfort,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
